0,1,2,3,4,5,6,7,8
MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
MRSA I to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
MRSA R to linezolid,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
MRSA R to fluoroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
CA-MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E. faecalis R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E. faecalis R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E. faecium R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
CNS (R+I) to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
CNS R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Enterobacter spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Enterobacter spp. R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Enterobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E.coli R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E.coli R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E.coli R to fluoroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
E.coli MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Klebsiella spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Klebsiella spp. R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Klebsiella spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
CRE,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa R to aminoglycosides,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa R to fluroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa R to pip/tazobactam,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
P. aeruginosa MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2011
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
MRSA I to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
